SKU*,Warehouse Locations,Qty In Stock
NG22170I-12,"O2S,",1188
NG22170J-12,"O2S,",445
NG22170K-12,"O2S,",507
NG22170L-12,"O2S,",1191
NG22170M-12,"O2S,",770
NG22170N-12,"O2S,",207
NG22170O-12,"H1F,O2S,",473
NG22170P-12,"O2S,",465
NG22170Q-12,"O2S,",263
NG22170R-12,"O2S,",430
NG22170S-12,"O2S,",640
NG22170T-12,"O2S,",778
NG22170U-12,"O2S,",339
NG22170V-12,"O2S,",438
NG22170W-12,"O2S,",496
NG22170X-12,"O2S,",497
NG22170Y-12,"O2S,",826
NG22170Z-12,"O2S,",227
NG22171A-12-2,"D3F,",284
NG22171B-12-2,"D3F,",249
NG22177-6,"F7F,",26
NG22182-12-4,"D2S,",71
NG22185-6,"C7F,",123
NG22193,,0
NG22194-6,,0
NG22197,,
NG22203A-D-12,,0
NG22203B,,0
NG22212,"F9S,N2M,",569
NG22214-6,"A6M,B8F,",89
NG22216-12,,-12
NG22216A,,
NG22216B,,
NG22216C,,
NG22216D,,
NG22217-6,,0
NG22223-12,"H3S,",118
NG22223-F-3,,0
NG22223-P-3,,0
NG22223A,,
NG22223B,,
NG22223C,,
NG22223D,,
NG22223E,,
NG22223F,,
NG22224,"I3F,",194
NG22224A,"I3F,",48
NG22224B,"I3F,",50
NG22224C,,
NG22224D,,
NG22234-24,,0
NG22235-12,"I7F,",108
NG22235-B,"I7F,",10
NG22235-G,"I7F,",10
NG22235-O,,0
NG22235-PK,"I7F,",9
NG22235-PL,"I7F,",9
NG22235-R,"I7F,",10
NG22235-Y,"I7F,",8
NG22236-12,"I7F,",237
NG22236-A,"I7F,",9
NG22236-B1,"I7F,",9
NG22236-G,"I7F,",9
NG22236-O,"I7F,",9
NG22236-R,"I7F,",10
NG22236-Y,"I7F,",10
NG22240,"C5F,D2H,",394
NG22247,"B11M,D4F,D5M,",4037
NG22248,"A5F,B3M,",119
NG22254,"C5H,D5S,",47
NG22255,"I7F,",316
NG22257F,,0
NG22258,,
NG22262,,0
NG22266,,
NG22268-12,"I4H,I5F,",356
NG22269,"A4S,",246
NG22270-48,,-48
NG22273-24,,2
NG22275,,16
NG22295,"I4S,",982
NG22296A-C,"I5S,",894
NG22298-1,"Kitchen #24,",1
NG22304-12,"I4H,I5F,",482
NG22312-12,,0
NG22338,"C2S,",1416
NG22341,"C5F,",127
NG22347,"A10F,",30
NG22350,"C5F,C6H,",3547
NG22358,,0
