
A,1,2,3,4,5,6,7,8,9,10,11,12,13
S,,,,,,,,,,,NG21718OB(215),,
S,,,,,,,,,,,NG21718OR(0),,
S,,,,,,,,,,,NG21718P(260),,
S,,,,,,,,,,,NG21718PP(7),,
S,,,,,,,,,,,NG21718PW(313),,
S,,,,,,,,,,,NG21718Q(425),,
S,,,,,,,,,,,NG21718R(0),,
S,,,,,,,,,,,NG21718S(0),,
S,,,,,,,,,,,NG21718T(182),,
S,,,,,,,,,,,NG21718U(803),,
S,,,,,,,,,,,NG21718UB(488),,
S,,,,,,,,,,,NG21718UG(22),,
S,,,,,,,,,,,NG21718UR(417),,
S,,,,,,,,,,,NG21718VO(0),,
S,,,,,,,,,,,NG21718X(55),,
S,,,,,,,,,,,NG21718Y(141),,
S,,,,,,,,,,,NG21718YP(19),,
S,,,,,,,,,,,NG21718YY(46),,
S,,,,,,,,,,,NG21718Z(367),,
F,NG22170O-12(473),,NG202D-24(0),,NG22663(1),,,,,NG23543(0),,,
F,,,NG23513(109),,NG23379(347),,,,,NG23543A(50),,,
F,,,,,NG23397(77),,,,,NG23543B(50),,,
F,,,,,NG23534(256),,,,,NG23550(0),,,
F,,,,,R-NG21396-24(0),,,,,NG23550A(356),,,
F,,,,,R-NG23379(0),,,,,NG23550B(356),,,

I,1,2,3,4,5,6,7,8,9,10,11,12,13

H,NG22439(5704),,,NG22268-12(356),,,,NG22079-6(0),,,,,
H,R-NG22079-6(0),,,NG22304-12(482),,,,,,,,,
H,R-NG22439(0),,,,,,,,,,,,
S,,NG21006B-24(450),NG21038(4),NG21207-1(4),NG21067(0),NG23225(288),NG21225-12(74),,,,,,
S,,NG21035-12(864),NG21250-1(3),NG22295(982),NG21291-1(6),,,,,,,,
S,,NG21232-24(492),NG21271-4(71),,NG21887-36(958),,,,,,,,
S,,NG21277-1(4),NG21387-1(12),,NG21916-1(12),,,,,,,,
S,,NG21330-24(264),NG21879-8(184),,NG22296A-C(894),,,,,,,,
S,,NG22360(3),NG22139-24(181),,R-NG21887-36(0),,,,,,,,
S,,NG22476(128),Q-NG21271-4(0),,,,,,,,,,
S,,Q-NG21157-12(0),Q-NG21879-8(0),,,,,,,,,,
S,,R-NG21006B(0),R-NG21271-4(0),,,,,,,,,,
S,,R-NG21035-12(0),R-NG21474-48(0),,,,,,,,,,
S,,R-NG21232-24(0),R-NG22139-24(0),,,,,,,,,,
S,,R-NG21330-24(0),,,,,,,,,,,
S,,R-NG22476(0),,,,,,,,,,,
F,NG23535(0),NG21248-24(513),NG21036-12(587),NG21823(100),NG21811(80),NG23275(123),NG22235-12(108),,,NG23048(-12),,,
F,NG23535A(116),NG22079-6(0),NG22224(194),NG23501(0),NG21890-36(250),NG23374(264),NG22235-B(10),,,NG23426(0),,,
